name,2020 Q1,2021 Q1,abbreviation
Alaska,10.2,7.4,AK
Alabama,12.6,14.6,AL
Arkansas,9.6,12.7,AR
Arizona,6.3,7.4,AZ
California,4.6,6.5,CA
Colorado,4.9,6.2,CO
Connecticut,3.2,4.5,CT
District of Columbia,21.4,24.8,DC
Delaware,6.4,10.4,DE
Florida,6.8,7.9,FL
Georgia,8.3,10.8,GA
Hawaii,3,3,HI
Iowa,2.9,3.6,IA
Idaho,1.8,2.4,ID
Illinois,8.1,11.8,IL
Indiana,7.6,9.8,IN
Kansas,5.2,7.2,KS
Kentucky,6.1,10.2,KY
Louisiana,14.8,21.7,LA
Massachusetts,2.3,2.5,MA
Maryland,10.2,11.9,MD
Maine,1.7,,ME
Michigan,6.7,9,MI
Minnesota,2.7,3.9,MN
Missouri,10.9,14.8,MO
Mississippi,15.2,21.7,MS
Montana,4.4,6.2,MT
North Carolina,7.3,8.9,NC
North Dakota,3.2,4.4,ND
Nebraska,3,4.6,NE
New Hampshire,2.1,,NH
New Jersey,3.4,4.6,NJ
New Mexico,12.2,12.3,NM
Nevada,5.5,7.4,NV
New York,3.2,4.9,NY
Ohio,6.8,9.6,OH
Oklahoma,8.4,9.2,OK
Oregon,2.5,4.7,OR
Pennsylvania,6.2,9.2,PA
Rhode Island,2.2,3.3,RI
South Carolina,11.2,12.6,SC
South Dakota,4,6.1,SD
Tennessee,9.3,12.2,TN
Texas,6.1,7.7,TX
Utah,2.6,2.5,UT
Virginia,5.6,6.4,VA
Vermont,,,VT
Washington,3.5,4.3,WA
Wisconsin,4.5,6.1,WI
West Virginia,5.9,7.4,WV
Wyoming,5.6,3.8,WY